Timestamp,Open,High,Low,Close,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2024-03-28,523.21,524.61,522.78,523.07,89828364,523.07,523.07,523.07,,0,0,-1912.00
2024-03-27,521.71,523.21,519.485,523.17,82999777,523.0795238,523.074878,523.070995,,0.007977208,0.001595442,84038.00
2024-03-26,521.23,521.58,518.4,518.81,65463744,522.6729025,522.8668352,523.0285971,,-0.333670019,-0.065457651,-18470.00
2024-03-25,519.8,520.95,519.61,519.77,48512108,522.3964356,522.7157701,522.9961732,,-0.520958644,-0.156557849,-27629.00
2024-03-22,522.11,522.605,520.97,521.21,79070842,522.2834417,522.6423179,522.9784003,,-0.5468861,-0.234623499,-18959.00
2024-03-21,523.39,524.11,521.91,522.2,60256112,522.2754949,522.6207414,522.9706551,,-0.481992955,-0.284097391,33046.00
2024-03-20,515.77,520.62,515.08,520.48,69594574,522.1044954,522.516315,522.9458724,,-0.562865928,-0.339851098,92493.00
2024-03-19,512.15,515.995,511.12,515.71,60755263,521.4954958,522.1842996,522.8738737,,-1.000326337,-0.471946146,55570.00
2024-03-18,514,515.48,512.44,512.86,88893331,520.6730676,521.7294557,522.7742332,,-1.559016671,-0.689360251,59431.00
2024-03-15,510.21,511.7,508.122,509.83,107646297,519.6403945,521.1489945,522.6454348,,-2.220679849,-0.995624171,-99428.00
2024-03-14,516.97,517.125,511.82,514.95,103493184,519.1936903,520.8466045,522.5688633,,-2.305336983,-1.257566733,-19769.00
2024-03-13,517.11,517.29,514.49,515.97,54438487,518.8866722,520.6087214,522.503203,,-2.264024631,-1.458858313,-15674.00
2024-03-12,513.45,517.38,510.86,516.78,70833119,518.6860367,520.4219545,522.4462557,,-2.141241167,-1.595334884,107573.00
2024-03-11,510.48,511.88,508.5,511.28,61872913,517.9806999,519.9760055,522.3351487,31.95592287,-2.459388127,-1.768145532,-8599.00
2024-03-08,515.46,518.2201,511.13,511.72,86532535,517.3844428,519.5732735,522.2295253,32.86016309,-2.645521636,-1.943620753,-60023.00
2024-03-07,513.14,515.89,509.8053,514.81,58652085,517.1392577,519.3409187,522.1556992,38.42105263,-2.514708611,-2.057838325,99264.00
2024-03-06,510.55,512.069,508.42,509.75,68382367,516.4355189,518.873069,522.0322594,37.69021739,-2.78720885,-2.20371243,50672.00
2024-03-05,510.24,510.7,504.91,507.18,72855623,515.5540409,518.3026754,521.8844757,33.61103879,-3.173957369,-2.397761418,-99942.00
2024-03-04,512.03,514.2,512,512.3,49799257,515.2441323,518.009862,521.7891078,39.41553813,-3.032361965,-2.524681527,-10725.00
2024-03-01,508.98,513.29,508.56,512.85,76844844,515.0161197,517.7581614,521.7001615,38.7755102,-2.84299392,-2.588344006,93882.00
2024-02-29,508.07,509.74,505.35,508.08,83924795,514.3555368,517.2860559,521.5646375,36.12975391,-3.042742672,-2.679223739,35949.00
2024-02-28,505.33,506.855,504.96,506.26,56506634,513.5845333,516.7481996,521.4123525,38.68263473,-3.309751036,-2.805329198,-13217.00
2024-02-27,506.7,507.16,504.75,506.93,48854528,512.9507682,516.269263,521.2682495,42.50694971,-3.42778037,-2.929819433,18577.00
2024-02-26,508.3,508.75,505.86,505.99,50386738,512.2878379,515.7678355,521.1162271,44.87726788,-3.556176226,-3.055090791,-36625.00
2024-02-23,509.27,510.13,507.1,507.85,61321818,511.8651867,515.3815996,520.9842249,39.62594974,-3.467868976,-3.137646428,6896.00
2024-02-22,504.01,508.49,503.02,507.5,76402535,511.4494546,514.9971314,520.8500535,37.37704918,-3.387082738,-3.18753369,206954.00
2024-02-21,495.42,497.37,493.56,497.21,59603771,510.0933161,514.1294664,520.6148291,27.26005113,-4.106044145,-3.371235781,9058.00
2024-02-20,497.72,498.41,494.45,496.76,71736740,508.8234765,513.2821754,520.3774676,30.88467615,-4.658437906,-3.628676206,-55054.00
2024-02-16,501.7,502.87,498.75,499.51,75532928,507.9364787,512.6103619,520.1698311,34.84735666,-4.81876421,-3.866693807,-49800.00
2024-02-15,499.29,502.2,498.795,502.01,61682960,507.3720522,512.0932711,519.9891362,33.8790932,-4.690031095,-4.031361264,68997.00
2024-02-14,496.79,499.07,494.4,498.57,68387827,506.5337615,511.4335994,519.7760105,35.32037815,-4.810140124,-4.187117036,90875.00
2024-02-13,494.53,497.09,490.715,494.08,113099199,505.347689,510.5870823,519.5203288,33.625,-5.207602865,-4.391214202,-137731.00
2024-02-12,501.17,503.5,500.24,500.98,56502283,504.9317186,510.1184442,519.3358479,36.45284825,-4.909232046,-4.494817771,-4390.00
2024-02-09,498.84,501.65,498.49,501.2,63979375,504.5763168,509.6833981,519.1553917,35.946924,-4.601970213,-4.516248259,57794.00
2024-02-08,498.1,498.71,497.26,498.32,52343636,503.9804771,509.129086,518.9480744,37.66430738,-4.538537493,-4.520706106,4416.00
2024-02-07,496.29,498.53,495.36,498.1,70556506,503.4204317,508.5910818,518.7406309,39.25184405,-4.454668125,-4.50749851,83404.00
2024-02-06,493.52,494.32,492.05,493.98,55918602,502.5213429,507.8783461,518.4942564,34.36368027,-4.666854026,-4.539369613,29032.00
2024-02-05,493.695,494.3778,490.23,492.55,75757102,501.5716912,507.1306219,518.2361046,33.96181384,-4.893987094,-4.610293109,-36412.00
2024-02-02,489.65,496.05,489.3,494.35,99228192,500.8839111,506.5071769,517.998432,33.86711281,-4.872578676,-4.662750223,105273.00
2024-02-01,484.63,489.23,483.8,489.2,91891637,499.7711577,505.6629244,517.7118804,30.38164666,-5.211103947,-4.772420967,130881.00
2024-01-31,488.62,489.0813,482.86,482.88,126011062,498.162476,504.5515622,517.3652945,33.2083431,-5.921104044,-5.002157583,-163174.00
2024-01-30,490.56,491.62,490.11,490.89,58618386,497.4698592,503.8851446,517.1018587,44.15687836,-5.770920597,-5.155910186,-7736.00
2024-01-29,487.73,491.415,487.17,491.27,61322751,496.8793965,503.2697717,516.8448253,41.39155871,-5.557176637,-5.236163476,79194.00
2024-01-26,487.59,489.12,486.54,487.41,76641609,495.9775492,502.4961243,516.5519415,35.16863064,-5.634304,-5.315791581,-12705.00
2024-01-25,487.575,488.305,485.39,488.03,72524989,495.2206397,501.7904597,516.2681411,38.64224138,-5.581064139,-5.368846092,54389.00
2024-01-24,487.81,488.77,484.8819,485.39,80222006,494.2843883,500.9904372,515.9608959,40.24691358,-5.686348417,-5.432346557,10930.00
2024-01-23,484.01,485.105,482.89,484.86,49945297,493.3868275,500.2035866,515.6514342,28.88947093,-5.74631361,-5.495139968,29165.00
2024-01-22,484.01,485.22,482.78,483.45,75844931,492.440463,499.3863385,515.331022,27.45745491,-5.840288464,-5.564169667,21142.00
2024-01-19,477.65,482.72,476.5374,482.43,110834483,491.4870856,498.5592,515.0036486,28.8189816,-5.928727014,-5.637081136,124661.00
2024-01-18,474.01,477.06,472.42,476.49,91856248,490.0587917,497.4826537,514.6204282,25.00578302,-6.404298789,-5.790524667,88928.00
2024-01-17,471.82,472.79,469.87,472.29,68843871,488.3665258,496.2537438,514.1992299,24.95959363,-7.038957031,-6.04021114,-55588.00
2024-01-16,475.26,476.6098,473.06,474.93,85014870,487.0868567,495.2135611,513.8084913,30.21114106,-7.24538207,-6.281245326,-36713.00
2024-01-12,477.84,478.6,475.23,476.68,58026420,486.0957275,494.309485,513.4390536,30.13267371,-7.184941492,-6.461984559,6927.00
2024-01-11,477.59,478.12,472.26,476.35,77940723,485.167563,493.4334126,513.0700083,33.79571248,-7.082032875,-6.585994222,-4407.00
2024-01-10,474.16,477.4481,473.87,476.56,67310640,484.3477951,492.6103193,512.7067246,40.57841383,-6.903947401,-6.649584858,56554.00
2024-01-09,471.87,474.93,471.35,473.88,65931439,483.3508622,491.6966451,512.3203891,19.85111663,-6.899533455,-6.699574577,-15171.00
2024-01-08,468.43,474.75,468.3,474.6,74879074,482.5174468,490.8626625,511.9450618,20.8056042,-6.760012176,-6.711662097,142759.00
2024-01-05,467.49,470.44,466.43,467.92,85553758,481.1272137,489.7435082,511.5070015,18.93528849,-7.10654095,-6.790637868,13696.00
2024-01-04,468.3,470.96,467.05,467.28,84232169,479.8084315,488.6477273,511.0669318,16.94807263,-7.348105762,-6.902131447,-32211.00
2024-01-03,470.43,471.19,468.17,468.79,103585866,478.759057,487.6790577,510.6462658,22.57105089,-7.333171005,-6.988339358,-81668.00
2024-01-02,472.16,473.67,470.49,472.65,123007793,478.1772421,486.9459329,510.2681935,31.8249479,-6.929980856,-6.976667658,-55964.00
2023-12-29,476.49,477.03,473.3,475.31,122283149,477.9041714,486.3783264,509.9203508,38.31802526,-6.322923265,-6.845918779,-28950.00
2023-12-28,476.88,477.55,476.26,476.69,77158116,477.788536,485.9057251,509.5897006,41.84659091,-5.665166768,-6.609768377,3777.00
2023-12-27,475.44,476.66,474.89,476.51,63874396,477.6667707,485.4473971,509.2605493,50.03396739,-5.099629151,-6.307740532,18080.00
2023-12-26,474.07,476.58,473.99,475.65,55386952,477.4746973,484.9694753,508.926116,56.43678161,-4.667032679,-5.979598961,42225.00
2023-12-22,473.86,475.38,471.7,473.65,67160419,477.1104404,484.4173058,508.5751099,47.48625295,-4.434462422,-5.670571653,20097.00
2023-12-21,471.33,472.975,468.84,472.7,86667465,476.6903985,483.8457299,508.2181436,41.93025142,-4.277497549,-5.391956832,94819.00
2023-12-20,473.96,475.895,467.82,468.26,102920959,475.8875034,483.0854504,507.8205501,35.9402155,-4.459960995,-5.205557665,-138573.00
2023-12-19,472.53,474.92,472.45,474.84,52024922,475.7877412,482.6832333,507.4923854,47.55264656,-4.027190635,-4.969884259,60808.00
2023-12-18,470.98,472.98,469.8929,471.97,70375285,475.4241468,482.1606365,507.1389289,47.2969148,-3.871177497,-4.750142907,56250.00
2023-12-15,469.49,470.7,467.4263,469.33,141553673,474.8437518,481.5347518,506.7627206,42.9261745,-3.91542729,-4.583199783,-56779.00
2023-12-14,472.5,473.73,469.25,472.01,119026049,474.5738707,481.0701298,506.4169224,56.15037594,-3.691686502,-4.404897127,32093.00
2023-12-13,464.49,470.7599,464.12,470.5,93277960,474.185883,480.5545137,506.0595401,54.71864009,-3.594776353,-4.242872972,137901.00
2023-12-12,461.63,464.2,460.6,464.1,68327617,473.2253227,479.7518545,505.6420322,43.98872084,-3.988424796,-4.191983337,45671.00
2023-12-11,459.69,462.17,459.47,461.99,65002247,472.155292,478.8854226,505.2076837,35.69511541,-4.419705772,-4.237527824,38896.00
2023-12-08,457.46,460.745,457.21,460.2,83194404,471.0166928,477.9739385,504.759846,29.23880187,-4.850028978,-4.360028055,42991.00
