Timestamp,Open,OpenScaled,High,Low,Close,CloseScaled,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2024-02-13,494.53,49453,497.09,490.715,494.08,49408,113099199,505.347689,510.5870823,519.5203288,33.625,-5.207602865,-4.391214202,-14
2024-02-12,501.17,50117,503.5,500.24,500.98,50098,56502283,504.9317186,510.1184442,519.3358479,36.45284825,-4.909232046,-4.494817771,-1
2024-02-09,498.84,49884,501.65,498.49,501.2,50120,63979375,504.5763168,509.6833981,519.1553917,35.946924,-4.601970213,-4.516248259,5
2024-02-08,498.1,49810,498.71,497.26,498.32,49832,52343636,503.9804771,509.129086,518.9480744,37.66430738,-4.538537493,-4.520706106,0
2024-02-07,496.29,49629,498.53,495.36,498.1,49810,70556506,503.4204317,508.5910818,518.7406309,39.25184405,-4.454668125,-4.50749851,8
2024-02-06,493.52,49352,494.32,492.05,493.98,49398,55918602,502.5213429,507.8783461,518.4942564,34.36368027,-4.666854026,-4.539369613,2
2024-02-05,493.695,49369.5,494.3778,490.23,492.55,49255,75757102,501.5716912,507.1306219,518.2361046,33.96181384,-4.893987094,-4.610293109,-4
2024-02-02,489.65,48965,496.05,489.3,494.35,49435,99228192,500.8839111,506.5071769,517.998432,33.86711281,-4.872578676,-4.662750223,10
2024-02-01,484.63,48463,489.23,483.8,489.2,48920,91891637,499.7711577,505.6629244,517.7118804,30.38164666,-5.211103947,-4.772420967,13
2024-01-31,488.62,48862,489.0813,482.86,482.88,48288,126011062,498.162476,504.5515622,517.3652945,33.2083431,-5.921104044,-5.002157583,-17
2024-01-30,490.56,49056,491.62,490.11,490.89,49089,58618386,497.4698592,503.8851446,517.1018587,44.15687836,-5.770920597,-5.155910186,-1
2024-01-29,487.73,48773,491.415,487.17,491.27,49127,61322751,496.8793965,503.2697717,516.8448253,41.39155871,-5.557176637,-5.236163476,7
2024-01-26,487.59,48759,489.12,486.54,487.41,48741,76641609,495.9775492,502.4961243,516.5519415,35.16863064,-5.634304,-5.315791581,-2
2024-01-25,487.575,48757.5,488.305,485.39,488.03,48803,72524989,495.2206397,501.7904597,516.2681411,38.64224138,-5.581064139,-5.368846092,5
2024-01-24,487.81,48781,488.77,484.8819,485.39,48539,80222006,494.2843883,500.9904372,515.9608959,40.24691358,-5.686348417,-5.432346557,1
2024-01-23,484.01,48401,485.105,482.89,484.86,48486,49945297,493.3868275,500.2035866,515.6514342,28.88947093,-5.74631361,-5.495139968,2
2024-01-22,484.01,48401,485.22,482.78,483.45,48345,75844931,492.440463,499.3863385,515.331022,27.45745491,-5.840288464,-5.564169667,2
2024-01-19,477.65,47765,482.72,476.5374,482.43,48243,110834483,491.4870856,498.5592,515.0036486,28.8189816,-5.928727014,-5.637081136,12
2024-01-18,474.01,47401,477.06,472.42,476.49,47649,91856248,490.0587917,497.4826537,514.6204282,25.00578302,-6.404298789,-5.790524667,8
2024-01-17,471.82,47182,472.79,469.87,472.29,47229,68843871,488.3665258,496.2537438,514.1992299,24.95959363,-7.038957031,-6.04021114,-6
2024-01-16,475.26,47526,476.6098,473.06,474.93,47493,85014870,487.0868567,495.2135611,513.8084913,30.21114106,-7.24538207,-6.281245326,-4
2024-01-12,477.84,47784,478.6,475.23,476.68,47668,58026420,486.0957275,494.309485,513.4390536,30.13267371,-7.184941492,-6.461984559,0
2024-01-11,477.59,47759,478.12,472.26,476.35,47635,77940723,485.167563,493.4334126,513.0700083,33.79571248,-7.082032875,-6.585994222,-1
2024-01-10,474.16,47416,477.4481,473.87,476.56,47656,67310640,484.3477951,492.6103193,512.7067246,40.57841383,-6.903947401,-6.649584858,5
2024-01-09,471.87,47187,474.93,471.35,473.88,47388,65931439,483.3508622,491.6966451,512.3203891,19.85111663,-6.899533455,-6.699574577,-2
2024-01-08,468.43,46843,474.75,468.3,474.6,47460,74879074,482.5174468,490.8626625,511.9450618,20.8056042,-6.760012176,-6.711662097,14
2024-01-05,467.49,46749,470.44,466.43,467.92,46792,85553758,481.1272137,489.7435082,511.5070015,18.93528849,-7.10654095,-6.790637868,1
2024-01-04,468.3,46830,470.96,467.05,467.28,46728,84232169,479.8084315,488.6477273,511.0669318,16.94807263,-7.348105762,-6.902131447,-4
2024-01-03,470.43,47043,471.19,468.17,468.79,46879,103585866,478.759057,487.6790577,510.6462658,22.57105089,-7.333171005,-6.988339358,-9
2024-01-02,472.16,47216,473.67,470.49,472.65,47265,123007793,478.1772421,486.9459329,510.2681935,31.8249479,-6.929980856,-6.976667658,-6
2023-12-29,476.49,47649,477.03,473.3,475.31,47531,122283149,477.9041714,486.3783264,509.9203508,38.31802526,-6.322923265,-6.845918779,-3
2023-12-28,476.88,47688,477.55,476.26,476.69,47669,77158116,477.788536,485.9057251,509.5897006,41.84659091,-5.665166768,-6.609768377,0
2023-12-27,475.44,47544,476.66,474.89,476.51,47651,63874396,477.6667707,485.4473971,509.2605493,50.03396739,-5.099629151,-6.307740532,1
2023-12-26,474.07,47407,476.58,473.99,475.65,47565,55386952,477.4746973,484.9694753,508.926116,56.43678161,-4.667032679,-5.979598961,4
2023-12-22,473.86,47386,475.38,471.7,473.65,47365,67160419,477.1104404,484.4173058,508.5751099,47.48625295,-4.434462422,-5.670571653,2
2023-12-21,471.33,47133,472.975,468.84,472.7,47270,86667465,476.6903985,483.8457299,508.2181436,41.93025142,-4.277497549,-5.391956832,9
2023-12-20,473.96,47396,475.895,467.82,468.26,46826,102920959,475.8875034,483.0854504,507.8205501,35.9402155,-4.459960995,-5.205557665,-14
2023-12-19,472.53,47253,474.92,472.45,474.84,47484,52024922,475.7877412,482.6832333,507.4923854,47.55264656,-4.027190635,-4.969884259,6
2023-12-18,470.98,47098,472.98,469.8929,471.97,47197,70375285,475.4241468,482.1606365,507.1389289,47.2969148,-3.871177497,-4.750142907,5
2023-12-15,469.49,46949,470.7,467.4263,469.33,46933,141553673,474.8437518,481.5347518,506.7627206,42.9261745,-3.91542729,-4.583199783,-6
2023-12-14,472.5,47250,473.73,469.25,472.01,47201,119026049,474.5738707,481.0701298,506.4169224,56.15037594,-3.691686502,-4.404897127,3
2023-12-13,464.49,46449,470.7599,464.12,470.5,47050,93277960,474.185883,480.5545137,506.0595401,54.71864009,-3.594776353,-4.242872972,13
2023-12-12,461.63,46163,464.2,460.6,464.1,46410,68327617,473.2253227,479.7518545,505.6420322,43.98872084,-3.988424796,-4.191983337,4
2023-12-11,459.69,45969,462.17,459.47,461.99,46199,65002247,472.155292,478.8854226,505.2076837,35.69511541,-4.419705772,-4.237527824,3
2023-12-08,457.46,45746,460.745,457.21,460.2,46020,83194404,471.0166928,477.9739385,504.759846,29.23880187,-4.850028978,-4.360028055,4
2023-12-07,456.91,45691,458.9,456.29,458.23,45823,66995446,469.7989125,477.0108196,504.2968625,25.04056247,-5.289056801,-4.545833804,7
2023-12-06,458.81,45881,458.84,454.31,454.76,45476,67701116,468.3666351,475.9254137,503.8039584,22.9947852,-5.849559433,-4.80657893,-5
2023-12-05,455.26,45526,457.59,454.87,456.6,45660,69793469,467.2460032,474.9827106,503.3342672,26.90909091,-6.0752574,-5.060314624,-1
2023-12-04,455.6,45560,459.1206,454.34,456.69,45669,72430888,466.2406696,474.0903833,502.8701452,28.44433147,-6.175673101,-5.283386319,-6
2023-12-01,455.77,45577,459.65,455.16,459.1,45910,89183400,465.5606058,473.3591451,502.4346213,33.33333333,-5.991717618,-5.425052579,5
2023-11-30,455.48,45548,456.76,453.34,456.4,45640,79752700,464.6881671,472.5318697,501.9765654,34.81822837,-5.994695885,-5.53898124,3
2023-11-29,457.15,45715,458.32,454.2,454.61,45461,63145992,463.7283417,471.6576322,501.5052563,20.48438868,-6.071505685,-5.645486129,-1
2023-11-28,454.08,45408,456.27,453.5,454.93,45493,62115011,462.8904044,470.8416501,501.0418209,23.13997478,-6.03696629,-5.723782162,0
2023-11-27,454.65,45465,455.4901,454.0799,454.48,45448,50505985,462.0894135,470.0435208,500.5785192,24.85607856,-5.97700561,-5.774426851,-2
2023-11-24,455.07,45507,455.5,454.73,455.3,45530,29737375,461.4428027,469.3243247,500.1279867,19.80484279,-5.796500739,-5.778841629,0
2023-11-22,454.98,45498,456.38,453.8895,455.02,45502,59446573,460.8311072,468.6265528,499.679151,20.72617247,-5.611358738,-5.745345051,3
2023-11-21,453.1842,45318.42,454.131,451.9599,453.27,45327,49244639,460.1110018,467.8774526,499.2173684,25.14915099,-5.541958496,-5.70466774,-3
2023-11-20,450.53,45053,455.125,450.52,454.26,45426,70055633,459.5537635,467.2131866,498.7700314,31.301403,-5.345454505,-5.632825093,7
2023-11-17,450.24,45024,451.42,449.29,450.79,45079,83193902,458.7191193,466.4120556,498.2926181,28.94854586,-5.407390643,-5.587738203,1
2023-11-16,449.22,44922,450.56,448.12,450.23,45023,66665797,457.9106318,465.622687,497.8143831,30.89780325,-5.438965787,-5.55798372,1
